path,model_name
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/jane_eyre_18_f000002.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/wives_and_daughters_15_f000010.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/wives_and_daughters_06_f000049.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/the_sea_fairies_08_f000040.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/ozma_of_oz_17_f000015.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/emerald_city_of_oz_07_f000111.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/skyisland_21_baum_64kb_f000091.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/dorothy_and_wizard_oz_19_f000009.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/skyisland_09_baum_64kb_f000054.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/northandsouth_48_f000006.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/silent_bullet_10_f000039.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/jane_eyre_27_f000542.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/jane_eyre_21_f000129.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/jane_eyre_27_f000352.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/poisoned_pen_12_f000145.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/piratesofersatz_07_leinster_64kb_f000136.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/jane_eyre_30_f000080.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/northandsouth_30_f000120.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/jane_eyre_05_f000060.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/jane_eyre_23_f000054.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/jane_eyre_24_f000317.wav,tts_models/en/ljspeech/tacotron2-DCA
./fake/en/tts_models_en_ljspeech_tacotron2-DCA/emerald_city_of_oz_11_f000028.wav,tts_models/en/ljspeech/tacotron2-DCA
